date(String),item_id(String),title(String),currency_id(String),sales(Int32),price(Double),category_id(String),level1(String),level2(String),level3(String),level4(String),level5(String),level6(String),level7(String)
20191210,MPE436201750,Strong Man Xxl Igual Titan Gel Crecimiento Tamaño Mi-emb-ro,PEN,2,55,MPE123304,MPE1246,MPE1260,MPE123304,,,,
20191210,MPE436358986,Luz Led Trasera Recargable Bicicleta Ciclismo  Lampara,PEN,1,14.99,MPE123038,MPE1276,MPE1292,MPE1934,MPE123038,,,
20191210,MPE437571237,Funko Pop Games Tomb Raider - Lara Croft,PEN,1,39.9,MPE3422,MPE1132,MPE3422,,,,,
20191210,MPE438464411,Montura Con Sobrelentes 6 En 1 Montura Con Clip Solar,PEN,1,129,MPE127679,MPE1430,MPE3959,MPE127679,,,,
20191210,MPE438507903,Piscina Rectangular Bestway 778l - 262 X 175 X 51 - Inflable,PEN,1,84.99,MPE68110,MPE1574,MPE1621,MPE68110,,,,
20191210,MPE424385043,Bleu Intense - Hombre -perfume De Lbel,PEN,2,55,MPE1271,MPE1246,MPE1271,,,,,
20191210,MPE427686454,Cable Lightning iPhone Apple Original,PEN,1,24.9,MPE4922,MPE1051,MPE3813,MPE4922,,,,
20191210,MPE427857175,Recuerdos Para Promocion Escolar Graduacion Llaveros,PEN,1,2.5,MPE418981,MPE1953,MPE112701,MPE418981,,,,
20191210,MPE432946273,Audífono Handsfree Música Hd Bluetooth Llamada Ios Android,PEN,6,12.97,MPE5542,MPE1051,MPE3813,MPE5542,,,,
20191210,MPE433123126,Cargador Carga Rapida Tipo C Note 9 S8 S9 S10 Plus Original,PEN,2,39.9,MPE40709,MPE1051,MPE3813,MPE5546,MPE10184,MPE40709,,
20191210,MPE437131380,Usb Juegos Playstation Classic Mini | Pack Completo,PEN,1,70,MPE5027,MPE1648,MPE5027,,,,,
20191210,MPE438061733,"Fusion Wella Professional Amino Refiller ",PEN,1,109,MPE122792,MPE1246,MPE1263,MPE122792,,,,
20191210,MPE438190045,Mochila Antirrobo Con Clave Incluye Cable De Datos Usb.,PEN,2,70,MPE16543,MPE1648,MPE3377,MPE3579,MPE16543,,,
20191210,MPE438250295,Cargador Auto Para Apple iPhone Baseus - Carga Rápida,PEN,1,65,MPE67103,MPE1051,MPE3813,MPE5546,MPE67102,MPE67103,,
20191210,MPE438531277,Original Audifonos Haylou Gt1 En Stock,PEN,1,82,MPE5542,MPE1051,MPE3813,MPE5542,,,,
20191210,MPE438553960,Lol Surprise Avion Lol + 1 Esfera Sellada Lol,PEN,1,90,MPE2978,MPE1132,MPE2978,,,,,
20191210,MPE438906530,Parlante Bluetooth Usb/fm/ts/aux Luz Led Ovalado - Negro,PEN,1,69.9,MPE3839,MPE1000,MPE3835,MPE3839,,,,
20191210,MPE431676666,2.000.000 Vectores Corte Laser Dos Millones Diseños Archivos,PEN,1,30,MPE1731,MPE1648,MPE1723,MPE1731,,,,
20191210,MPE432057302,Extractor De Leche (manual) - 150 Ml,PEN,2,55,MPE121651,MPE1384,MPE5360,MPE121651,,,,
20191210,MPE432925627,Barra De Dominadas Para Marco De Puerta Extensible Cromada,PEN,1,39,MPE121436,MPE1276,MPE1338,MPE4832,MPE121436,,,
20191210,MPE436778234,Dormitorio Reina,PEN,1,699,MPE68102,MPE1574,MPE1608,MPE68102,,,,
20191210,MPE437410133,Huawei P30 Pro Libres 256gb Nuevos 4g 8gb Ram Sellado Oferta,PEN,1,2719,MPE1055,MPE1051,MPE1055,,,,,
20191210,MPE438025379,"Audifono Sony Extra Bass, Handsfre Mdr-zx-310 Al Por Mayor",PEN,1,15.99,MPE3697,MPE1000,MPE3835,MPE3697,,,,
20191210,MPE438388357,Memoria Usb De 8gb Kingston Modelo Teclado..para Regalar...,PEN,2,38,MPE5027,MPE1648,MPE5027,,,,,
20191210,MPE438898170,AirPods Pro Wireless 2019,PEN,1,1199,MPE39209,MPE1051,MPE3813,MPE39209,,,,
20191210,MPE422223441,Balanza Gramera 0.1g/500g Digital Oro Joyeria Joya Portatil,PEN,3,25,MPE122498,MPE1499,MPE5182,MPE122492,MPE122498,,,
20191210,MPE430181963,Billetera Tommy Hilfiger Cambridge,PEN,1,137,MPE127761,MPE1430,MPE127752,MPE127761,,,,
20191210,MPE433096619,Mate 100% Silicona + Bombilla + Yerba Mate 50 Grs Tkp,PEN,1,74,MPE123993,MPE1574,MPE1618,MPE1619,MPE123992,MPE123993,,
20191210,MPE434731646,Reloj Smartwatch Mi Band 4 Xiaomi Español Sellado,PEN,1,105,MPE116384,MPE1051,MPE3813,MPE116384,,,,
20191210,MPE436216168,Luz Led Con Sensor De Movimiento De Noche A Pila 3a Luces,PEN,3,24.9,MPE123037,MPE1574,MPE7155,MPE123037,,,,
20191210,MPE436450700,"Mando De Ps2, Ps3, Pc - Inalámbrico A Batería Gamepad Enkore",PEN,1,49,MPE2048,MPE1648,MPE1712,MPE2048,,,,
20191210,MPE436956665,"Gps Para Auto Localizador ",PEN,1,120,MPE49337,MPE1747,MPE8531,MPE10727,MPE49337,,,
20191210,MPE437394168,Cry Babies Nala Bebe Lloron Y Llorones Original,PEN,1,179,MPE2978,MPE1132,MPE2978,,,,,
20191210,MPE426938961,"Flash Yongnuo Yn 685 Ttl Canon, Nuevo En Caja",PEN,1,490,MPE70930,MPE1039,MPE4998,MPE40737,MPE70930,,,
20191210,MPE434469844,Luces Led Tira Lineal De 40 Mts Eventos Decoracion 400 Led,PEN,6,49,MPE116343,MPE1574,MPE1631,MPE116339,MPE116343,,,
20191210,MPE434748809,"Maletín Para Cámara Canon, Nikon, Sony, Etc. Morral Acolchad",PEN,1,129,MPE8431,MPE1039,MPE4998,MPE8431,,,,
20191210,MPE436527724,Silla Mueble Plegable Playa Perezosa Sillon Camping | Envio,PEN,1,99,MPE68106,MPE1574,MPE1621,MPE68106,,,,
20191210,MPE436680549,Curso Ingles Definitivo Vaughan Completo Oferta 2019,PEN,1,20,MPE1227,MPE3025,MPE1227,,,,,
20191210,MPE437310158,Blazer Coreano,PEN,1,50,MPE127921,MPE1430,MPE127836,MPE127921,,,,
20191210,MPE437381375,Cocina A Gas 2 Hornillas Acerada+ Valvula+encendedor +pila,PEN,1,76,MPE68074,MPE1574,MPE1618,MPE68074,,,,
20191210,MPE438520909,Cuatrimoto A Gasolina Utilitaria 50cc Niño,PEN,1,175,MPE5733,MPE1747,MPE5732,MPE5733,,,,
20191210,MPE424211853,Forever Pasta Dental Aloe Vera Toothgel + Propoleo Sin Flúor,PEN,1,10,MPE122603,MPE1246,MPE122603,,,,,
20191210,MPE429685006,Guantes Para Gimnasio Pesas - Rdx - Licra Y Cuero - S M L Xl,PEN,1,70,MPE69647,MPE1276,MPE1338,MPE69647,,,,
20191210,MPE430889102,Omniplus Gel Premium Acne Cicatrices Omnilife Original Seytu,PEN,1,69,MPE123350,MPE1246,MPE1253,MPE123350,,,,
20191210,MPE434331496,Mesa Laptop Graduable Multifuncional Metal X Mayor Y Menor,PEN,1,60,MPE63262,MPE1648,MPE3377,MPE63262,,,,
20191210,MPE435471490,Proyector Multimedia Gp100 Full Hd 3500 Lumenes 200 Pulgadas,PEN,1,799,MPE11889,MPE1000,MPE4800,MPE11889,,,,
20191210,MPE435685888,"Etiquetas Personalizados, Para Planchar 100 Unidades ",PEN,1,35,MPE127888,MPE1430,MPE1911,MPE127888,,,,
20191210,MPE435732066,Keto Burn Black 2000mg Pastillas Para Bajar De Peso Hombres,PEN,2,219,MPE5565,MPE1276,MPE5565,,,,,
20191210,MPE437693011,Faja Reductora De Abdomen Cintura Abdominales Térmica Sauna,PEN,1,54.9,MPE18385,MPE1276,MPE1338,MPE18385,,,,
20191210,MPE438387682,Bicicleta Eléctrica Modelo Vintage - Cadena De Seguro Gratis,PEN,1,2000,MPE6143,MPE1276,MPE1292,MPE6143,,,,
20191210,MPE438831058,Consola Ps4 Slim 1tb Bundle Mega Pack 6 + 3 Juegos,PEN,1,1379,MPE116355,MPE1144,MPE116990,MPE116353,MPE116355,,,
20191210,MPE419421313,Barra Dominadas 2en1 Paralelas Calistenia,PEN,1,110,MPE121436,MPE1276,MPE1338,MPE4832,MPE121436,,,
20191210,MPE427539800,Alarma Sirena + 2 Controles Seguridad Camaras Hogar Casa S8,PEN,1,99,MPE73590,MPE1574,MPE68126,MPE73590,,,,
20191210,MPE430438653,Vibradores Consolador Dual 7 Velocidades Sexshop,PEN,1,89,MPE271849,MPE1953,MPE127949,MPE127950,MPE271849,,,
20191210,MPE432526371,Plancha Industrial Textil A Vapor Silver Star,PEN,1,215,MPE5160,MPE1499,MPE5160,,,,,
20191210,MPE435437788,Portalapiceros Frida Kahlo,PEN,1,28,MPE2355,MPE1798,MPE2355,,,,,
20191210,MPE438047119,$10 Psn Tarjeta Playstation Ps4 Ps3 Store Usa [digital Code],PEN,1,36,MPE122991,MPE1144,MPE116990,MPE116353,MPE122991,,,
20191210,MPE438463919,All-in-one Hp 24-f013la Corei5 23.8 Full Hd Ips,PEN,1,2599,MPE1649,MPE1648,MPE1649,,,,,
20191210,MPE438512986,Nebulizador Portátil A Pistón Para Uso En Casa Eolo- Ca-mi 1,PEN,1,185,MPE5178,MPE1953,MPE409431,MPE5179,MPE5178,,,
20191210,MPE426140200,Balanza Electrónica 30 Kg X 1 Gr Nuevo 2019 Oficina Delivery,PEN,1,220,MPE122498,MPE1499,MPE5182,MPE122492,MPE122498,,,
20191210,MPE429097922,"Psn Plus 1 Mes A 6 Soles !! ",PEN,1,6,MPE122991,MPE1144,MPE116990,MPE116353,MPE122991,,,
20191210,MPE431668008,Camara Deportiva Sport Cam Full Hd Acuatica Gopro Accesorios,PEN,2,39.98,MPE1042,MPE1039,MPE1042,,,,,
20191210,MPE434376242,Instantly Ageless X 5 Unidades - Oferta,PEN,1,65,MPE123351,MPE1246,MPE1253,MPE123351,,,,
20191210,MPE438628565,Gaveta Dinero Metalico Caja Registradora 34x37cm Punto Venta,PEN,1,165,MPE122065,MPE1499,MPE122065,,,,,
20191210,MPE438747771,Mochila Antirrobo Impermeable Morral Mac Laptop Notebook Usb,PEN,1,42,MPE16543,MPE1648,MPE3377,MPE3579,MPE16543,,,
20191210,MPE433467139,Case Retro Original iPhone 6 6s 7 7p 8 8p X Gameboy Juegos,PEN,1,54.9,MPE122206,MPE1051,MPE3813,MPE122206,,,,
20191210,MPE434024809,Taza Termica Lente Fotografico Tomatodo Mug Camara Cafe Te,PEN,1,29.99,MPE68129,MPE1574,MPE1618,MPE1619,MPE68129,,,
20191210,MPE434631007,Muñeca Nenuco Merienditas,PEN,1,196,MPE2978,MPE1132,MPE2978,,,,,
20191210,MPE436227717,Cocina A Gas 2 Hornillas+balon+valvula+encendedor Electrico,PEN,1,125,MPE68074,MPE1574,MPE1618,MPE68074,,,,
20191210,MPE436540301,"Pasadores De Silicona 16 Und. Blanco/negro/gris/mixto ",PEN,1,14,MPE127800,MPE1430,MPE127751,MPE127756,MPE127800,,,
20191210,MPE436979035,Bases Para Tablero De Vidrio Redondo/cuadrado En Duco,PEN,1,390,MPE68125,MPE1574,MPE3236,MPE6119,MPE68125,,,
20191210,MPE437170816,Gaveta De Dinero Zkteco Zkc0508 - 13bols - Arteus Comp Sac,PEN,1,169,MPE122065,MPE1499,MPE122065,,,,,
20191210,MPE438401663,Smart Watch Y1s Reloj Solo Handsfree Bluetooth Con Cámara,PEN,1,39.9,MPE116384,MPE1051,MPE3813,MPE116384,,,,
20191210,MPE438489477,"Diabetes Disminuir-controlar Nivel De Azúcar Glucosa,parche",PEN,2,19.99,MPE112702,MPE1953,MPE3530,MPE112702,,,,
20191210,MPE438691753,Celular Motorola Moto E5 Plus Nuevo En Caja,PEN,1,449.99,MPE1055,MPE1051,MPE1055,,,,,
20191210,MPE419890101,Dispensador De Pasta Dental + Org. De Cepillos !! Microtics,PEN,1,20,MPE30983,MPE1574,MPE1613,MPE30983,,,,
20191210,MPE421904530,Lentes Gafas Pinholes Estenopeicos Mejora Visión Miopia,PEN,1,18,MPE127608,MPE1430,MPE3959,MPE127608,,,,
20191210,MPE431849750,Impresora Canon Multifuncional Sistema Continuo Instalado,PEN,1,169.99,MPE1676,MPE1648,MPE122958,MPE122870,MPE1676,,,
20191210,MPE431870608,Orejas Perfectas Gracias A Prótesis Invisbles Orepeg,PEN,1,45,MPE122656,MPE1246,MPE1260,MPE122656,,,,
20191210,MPE434484196,"Grass Sintetico Decorativo Para Colegios, Nidos, Terrazas",PEN,5,19,MPE432612,MPE1574,MPE1621,MPE432612,,,,
20191210,MPE434495318,Baston Metal Plegable Con Luz Led 4 Soportes - Original,PEN,1,59.99,MPE5178,MPE1953,MPE409431,MPE5179,MPE5178,,,
20191210,MPE435680287,Tapa Tolva Suave 3-secciones P/navara Np300 2014-o W600tc-st,PEN,1,749,MPE126630,MPE1747,MPE5732,MPE126628,MPE126630,,,
20191210,MPE436019539,Smart Watch Sim A1 Dz09 Nuevo Reloj Inteligente Bluetooth,PEN,2,55,MPE116384,MPE1051,MPE3813,MPE116384,,,,
20191210,MPE436067711,"Lámpara Luna 18 Cm 3d Sensor Touch ",PEN,1,69,MPE68104,MPE1574,MPE7155,MPE68104,,,,
20191210,MPE436909929,Taladro Atornillador Inalámbrico 12v - Stanley Scd12s2k,PEN,1,309.9,MPE431413,MPE127606,MPE5226,MPE419430,MPE431413,,,
20191210,MPE438839965,Reloj Casio Ae-3000wd-1avcf Original,PEN,1,239,MPE1442,MPE3937,MPE1442,,,,,
20191210,MPE430524246,Adaptador Micro Usb A Tipo C Samsung 100% Original,PEN,2,14.99,MPE4922,MPE1051,MPE3813,MPE4922,,,,
20191210,MPE430797585,"Cajas De Carton Para Tazas, Tazas Personalizadas, Sublimados",PEN,1,2,MPE112744,MPE1953,MPE3530,MPE112744,,,,
20191210,MPE434229863,"Monopolio Monopoly Mario Bros Gamer ",PEN,1,99,MPE6159,MPE1132,MPE6159,,,,,
20191210,MPE434271096,Casa Para Perros Decorativo Color Natural,PEN,1,120,MPE122570,MPE1071,MPE1072,MPE122570,,,,
20191210,MPE435427642,Bolsas De Yute Personalizadas,PEN,1,3,MPE5160,MPE1499,MPE5160,,,,,
20191210,MPE437535115,"Micas Protector Para Xiaomi Mi Band 4 / Pack: 4 Unidades ",PEN,2,9.99,MPE116384,MPE1051,MPE3813,MPE116384,,,,
20191210,MPE438132668,Flawless Perfilador De Cejas Sin Dolor Quality Products,PEN,1,69,MPE123330,MPE1246,MPE1253,MPE123330,,,,
20191210,MPE438651404,"Pañalera Para Tu Ksi Merito Neonato Original ",PEN,1,152,MPE1910,MPE1132,MPE1910,,,,,
20191210,MPE425681680,"Adaptador Taladro Impacto Dados  3pzas 1/4, 3/8 Y 1/2",PEN,1,20,MPE122019,MPE127606,MPE5226,MPE419430,MPE122019,,,
20191210,MPE431871623,Super Afeitadora Rasuradora Eléctrica Multifuncional 3 En 1,PEN,1,35,MPE123356,MPE1246,MPE1253,MPE123356,,,,
20191210,MPE433459482,Battery Grip Para Canon T5 T6 T3 1100d 1200d 1300d Lp-e10,PEN,1,150,MPE123089,MPE1039,MPE4998,MPE123089,,,,
20191210,MPE434075799,Bicicleta Mtb Aro 26  Para Dama Deportiva,PEN,1,299,MPE6143,MPE1276,MPE1292,MPE6143,,,,
20191210,MPE435118853,Logitech Mouse M585 Multi Device Bluetooth/wireless Black,PEN,1,98,MPE1714,MPE1648,MPE1714,,,,,
20191210,MPE436748480,Restaurador Y Protector De Plasticos Exterior 1lt,PEN,1,85,MPE2232,MPE1747,MPE2232,,,,,
20191210,MPE437920789,Peluche Chimuelo Como Entrenar A Tu Dragon Importado,PEN,1,75,MPE2978,MPE1132,MPE2978,,,,,
20191210,MPE438549952,Cortador De Botellas De Vidrio,PEN,1,180,MPE1893,MPE1499,MPE1893,,,,,
20191210,MPE438831277,"Scooter Grande Niños 98cm Alto Amortiguadores Luces ",PEN,1,129,MPE6151,MPE1132,MPE6151,,,,,
20191210,MPE425364080,Alcoholimetro Digital Con Pantalla Lcd - At 6000 Lince,PEN,1,89,MPE123092,MPE1039,MPE4998,MPE123092,,,,
20191210,MPE425594150,Tester De Pilas Y Baterias Aa/aaa/c/d/9v/1.5v Universal,PEN,1,29.99,MPE11822,MPE1000,MPE4641,MPE11822,,,,
20191210,MPE429089001,Soat Para Moto Lineal,PEN,1,480,MPE21949,MPE1747,MPE8475,MPE21949,,,,
20191210,MPE430852851,Bomba Sifón Manual Alta Calidad Gasolina Diesel Agua & Otros,PEN,1,40,MPE125283,MPE1747,MPE5768,MPE5965,MPE125283,,,
20191210,MPE433702405,Gas Pimienta 60ml. Proteccion Robo Asalto Defensa Personal,PEN,3,19.99,MPE73592,MPE1574,MPE68126,MPE73592,,,,
20191210,MPE434692262,Almohadones Sublimados Personalizados - Forros Lavables,PEN,1,69,MPE7969,MPE1574,MPE1608,MPE7969,,,,
20191210,MPE437583900,Audifonos Inalambricos Bluetooth Imantados X Mayor (docena),PEN,1,9,MPE3697,MPE1000,MPE3835,MPE3697,,,,
20191210,MPE428172468,Mándalas De  Una Plaza Y Media,PEN,1,40,MPE127887,MPE1430,MPE1911,MPE127887,,,,
20191210,MPE434693154,Puntero Laser Presentador De Diapositivas -garantía 100%.,PEN,2,23.99,MPE123236,MPE1648,MPE1712,MPE123236,,,,
20191210,MPE436680435,Carpa Indio  Regalo Niños,PEN,1,190,MPE1358,MPE1276,MPE1358,,,,,
20191210,MPE437817260,"Videocurso Como Ganar 30 Usd Diarios Con Google Adsense ",PEN,1,25,MPE1227,MPE3025,MPE1227,,,,,
20191210,MPE437857774,Sandisk Nintendo Switch Micro Sd 256 Gb  100mb Envio Gratis,PEN,1,249.99,MPE429515,MPE1144,MPE116989,MPE429512,MPE429515,,,
20191210,MPE438025872,"Relojes Casio Parejas Ga100 + Baby Gshock,en Lata",PEN,1,349.99,MPE1442,MPE3937,MPE1442,,,,,
20191210,MPE438102666,"Lámpara Uv Led 36w Secadora De Uñas Sun 9x Plus Manicure ",PEN,1,109,MPE122646,MPE1246,MPE121645,MPE122646,,,,
20191210,MPE438851288,Cfa 2020 Schweser Study Notes - Level 2 - Ebook - Pdf,PEN,1,25,MPE1196,MPE3025,MPE1196,,,,,
20191210,MPE425041557,Sobrepantalón Lluvia Impermeable  + Transpirable Y Ligero,PEN,1,95,MPE127828,MPE1430,MPE127828,,,,,
20191210,MPE427979946,Mini Ventilador Usb Fan Escritorio Pc,PEN,1,12.99,MPE9819,MPE1648,MPE1712,MPE9819,,,,
20191210,MPE430102305,Bvd Camiseta Reductora Faja Remodela Abdomen Vividi Hombres,PEN,4,29.96,MPE431501,MPE1430,MPE127829,MPE431501,,,,
20191210,MPE432173173,Suplemento Biológico Para Acuarios Nutrafin Cycle 2l,PEN,1,229,MPE1094,MPE1071,MPE1091,MPE1094,,,,
20191210,MPE432574043,iPhone Se 64gb Apple Usado + Cargador,PEN,1,599.9,MPE1055,MPE1051,MPE1055,,,,,
20191210,MPE434374019,Proyector Laser De Navidad Luces Led Figuras De Navidad,PEN,1,59.99,MPE116343,MPE1574,MPE1631,MPE116339,MPE116343,,,
20191210,MPE434510058,Dotty Cry Babies Muñeca Bebe Llorona Nala,PEN,1,159,MPE2978,MPE1132,MPE2978,,,,,
20191210,MPE434614626,Oferta Soat Para Moto Lineal,PEN,1,470,MPE21949,MPE1747,MPE8475,MPE21949,,,,
20191210,MPE436132781,Celular Samsung Galaxy S10 Plus 128gb Prism Black,PEN,1,2649,MPE1055,MPE1051,MPE1055,,,,,
20191210,MPE436513825,Telémetro Medidor De Distancia Láser 120m,PEN,1,230,MPE122056,MPE127606,MPE5226,MPE419435,MPE122056,,,
20191210,MPE436724042,Reloj Skmei Niños 1484 Deportes G-shock Cronómetro Acuáticos,PEN,1,59.9,MPE1442,MPE3937,MPE1442,,,,,
20191210,MPE438134560,"Extensiones Seminaturales ",PEN,1,27,MPE122790,MPE1246,MPE1263,MPE122790,,,,
20191210,MPE438138260,Cámara Boroscopio Impermeable De Inspección 6leds 2m 5.5mm,PEN,1,49.9,MPE4660,MPE1039,MPE4660,,,,,
20191210,MPE438930250,Importar De China Guillermo Zuluaga + Miguel Angel Bejar,PEN,1,19.9,MPE1227,MPE3025,MPE1227,,,,,
20191210,MPE430186453,Samsung Galaxy S9 Dual Sim 64gb Nuevo Sellado + Garantia,PEN,1,1899,MPE1055,MPE1051,MPE1055,,,,,
20191210,MPE434201918,Morral Impermeable Antirrobo Con Cable Usb Importado.,PEN,1,37.99,MPE127757,MPE1430,MPE127752,MPE127757,,,,
20191210,MPE434238006,Pulidora Orbital 10  120w +3bonetes Kp12k-b2 Black + Decker,PEN,1,199.9,MPE2232,MPE1747,MPE2232,,,,,
20191210,MPE437920226,Play Station Plus 12 Meses - Ps4 Gamescenter,PEN,1,38,MPE122991,MPE1144,MPE116990,MPE116353,MPE122991,,,
20191210,MPE438152526,Maquina Para Hacer Pastas De Fideos En Acero Inoxidable,PEN,1,100,MPE68074,MPE1574,MPE1618,MPE68074,,,,
20191210,MPE438462153,Cargador Huawei Original Super Charge 5a P30 Pro/mate 20,PEN,1,85,MPE122220,MPE1051,MPE3813,MPE5546,MPE122218,MPE122220,,
20191210,MPE438463812,Baseus Usb Cable For iPhone Xs Max Xr X 8 7 6 6s Plus 5 5s S,PEN,1,25,MPE4922,MPE1051,MPE3813,MPE4922,,,,
20191210,MPE438474521,"Audífonos Sordera Recargables, Envíos A Todo Perú",PEN,1,98,MPE121980,MPE1953,MPE409431,MPE180801,MPE121980,,,
20191210,MPE438605279,50 Pulseras Neón Fosforescente Glow Stick Fiestas Eventos,PEN,1,15,MPE418979,MPE1953,MPE112701,MPE418979,,,,
20191210,MPE438644173,Memoria Micro Sd Sandisk Extreme Pro 64 Gb A2 4k 170 M/bs,PEN,1,130,MPE7908,MPE1051,MPE3813,MPE7908,,,,
20191210,MPE429119482,Lente Natacion Adulto Rapide Speedo,PEN,1,59,MPE1278,MPE1276,MPE1277,MPE1278,,,,
20191210,MPE431089010,3 En 1 Cámara Reversa Sensor Retroceso Distancia Radar Sonid,PEN,1,118.97,MPE126616,MPE1747,MPE5732,MPE126628,MPE126616,,,
20191210,MPE437838404,Funda Protectora Apple Watch Case Series 4 40mm,PEN,1,40,MPE122206,MPE1051,MPE3813,MPE122206,,,,
20191210,MPE424201098,****mosquitero-cuadrado-para-cama-matrimonialr*****,PEN,1,45,MPE30058,MPE1574,MPE1608,MPE30058,,,,
20191210,MPE430653193,"Forro De Timon Luxury Autos Y Camionetas Para Mujeres ",PEN,1,130,MPE126658,MPE1747,MPE5732,MPE126629,MPE126658,,,
20191210,MPE432360038,Yerba Mate Argentina Taragui Citricos 500 Grs Tkp,PEN,1,25,MPE112216,MPE1953,MPE1403,MPE112216,,,,
20191210,MPE434185019,Suplemento Natural Crecer Estatura Alto Fabricado En Usa,PEN,1,200,MPE5565,MPE1276,MPE5565,,,,,
20191210,MPE436424741,Riooex Plus Repelente Electrónico De Plagas Ratas Cucarachas,PEN,1,29.99,MPE68074,MPE1574,MPE1618,MPE68074,,,,
20191210,MPE436667643,"Espada Diamante Juego  60cm Y 45 Cm ",PEN,1,45,MPE2978,MPE1132,MPE2978,,,,,
20191210,MPE437556330,Funko Pop Games Overwatch S4 - Genji,PEN,1,39.9,MPE3422,MPE1132,MPE3422,,,,,
20191210,MPE438137814,Cpu Core Duo/ 2gb /160gb / Case Nuevo / Multi Dvd,PEN,1,160,MPE1649,MPE1648,MPE1649,,,,,
20191210,MPE438658927,"Maletín Clasico, Bolso Cruzado, Cuero Pu, Laptop 14 ",PEN,1,110,MPE127759,MPE1430,MPE127752,MPE127759,,,,
20191210,MPE438668537,"Mochila Targus 15,6 Intellect Advanced Tsb968",PEN,1,99,MPE16543,MPE1648,MPE3377,MPE3579,MPE16543,,,
20191210,MPE424254509,"Tratamiento Cabello Con 12 Aceites De Argan Oil Babyliss ",PEN,1,35.9,MPE122791,MPE1246,MPE1263,MPE122791,,,,
20191210,MPE425940863,Reloj Deportivo Hombre Q&q Militar Casual Acuatico Shock Q Q,PEN,1,115,MPE1442,MPE3937,MPE1442,,,,,
20191210,MPE429178331,Pack 5 Ligas Banda Elástica Ejercicios Pilates Y Resistencia,PEN,1,85,MPE123032,MPE1276,MPE1338,MPE6044,MPE123032,,,
20191210,MPE432432268,Filtros De Lavadoras Samsung,PEN,1,35,MPE122814,MPE1575,MPE122812,MPE122814,,,,
20191210,MPE432440595,Set 40 Kilos Pesas + Barra Z Ó Recta  + Mancuerna,PEN,2,219.99,MPE12219,MPE1276,MPE1338,MPE6044,MPE12219,,,
20191210,MPE432631249,Mochila Antirrobo Impermeable Morral Mac Laptop Notebook Usb,PEN,1,44.99,MPE16543,MPE1648,MPE3377,MPE3579,MPE16543,,,
20191210,MPE436668780,"Reloj De Mesa Despertador Proyector Led En La Pared ",PEN,1,45,MPE1009,MPE1000,MPE1001,MPE1009,,,,
20191210,MPE436711208,Reloj Inteligente Con Gps Para Niños,PEN,2,119,MPE1055,MPE1051,MPE1055,,,,,
20191210,MPE437009175,Fisher Price Casita Minnie Mouse Sweet Home Casa Disney,PEN,1,299,MPE2978,MPE1132,MPE2978,,,,,
